"frame","surprise","fear","disgust","anger","contempt","happiness","neutral","sadness"
"228","0.00905685","0.00113328","0.0233174","0.0268521","0.0702889","0.430125","0.431889","0.00733791"
"229","0.0107147","0.00200662","0.02413","0.0182014","0.103948","0.371978","0.456669","0.0123526"
"230","0.0158732","0.00260632","0.0239154","0.024268","0.0483231","0.37612","0.498486","0.0104084"
"231","0.0202055","0.00372903","0.0353518","0.0291528","0.0646326","0.388227","0.445285","0.0134165"
"232","0.0155416","0.00186524","0.0280682","0.0300616","0.0501509","0.465566","0.399947","0.00879944"
"233","0.0155481","0.00202836","0.0273208","0.0339475","0.0446647","0.441803","0.425792","0.00889483"
"234","0.0150143","0.00184835","0.0288507","0.0327161","0.0526099","0.454968","0.404867","0.00912645"
"235","0.0101779","0.00117667","0.0275048","0.0271653","0.0525437","0.460207","0.413333","0.0078912"
"236","0.00750155","0.000528061","0.0211969","0.02232","0.0294011","0.455912","0.457856","0.00528492"
"237","0.0129553","0.000813222","0.0311162","0.0247535","0.028019","0.410309","0.48533","0.00670341"
"238","","","","","","","",""
"239","","","","","","","",""
"240","","","","","","","",""
"241","","","","","","","",""
"242","","","","","","","",""
"243","","","","","","","",""
"244","","","","","","","",""
"245","","","","","","","",""
"246","","","","","","","",""
"247","","","","","","","",""
"248","","","","","","","",""
"249","","","","","","","",""
"250","","","","","","","",""
"251","","","","","","","",""
"252","","","","","","","",""
"253","","","","","","","",""
"254","","","","","","","",""
"255","","","","","","","",""
"256","","","","","","","",""
"257","","","","","","","",""
"258","","","","","","","",""
"259","","","","","","","",""
"260","","","","","","","",""
"261","","","","","","","",""
"262","","","","","","","",""
"263","","","","","","","",""
"264","","","","","","","",""
"265","","","","","","","",""
"266","","","","","","","",""
"267","","","","","","","",""
"268","","","","","","","",""
"269","","","","","","","",""
"270","","","","","","","",""
"271","","","","","","","",""
"272","","","","","","","",""
"273","","","","","","","",""
"274","","","","","","","",""
"275","","","","","","","",""
"276","","","","","","","",""
"277","","","","","","","",""
"278","","","","","","","",""
"279","","","","","","","",""
"280","","","","","","","",""
"281","","","","","","","",""
"282","","","","","","","",""
"283","","","","","","","",""
"284","","","","","","","",""
"285","","","","","","","",""
"286","","","","","","","",""
"287","","","","","","","",""
"288","","","","","","","",""
"289","","","","","","","",""
"290","","","","","","","",""
"291","","","","","","","",""
"292","","","","","","","",""
"293","","","","","","","",""
"294","","","","","","","",""
"295","","","","","","","",""
"296","","","","","","","",""
"297","","","","","","","",""
"298","","","","","","","",""
"299","","","","","","","",""
"300","","","","","","","",""
"301","","","","","","","",""
"302","","","","","","","",""
"303","","","","","","","",""
"304","","","","","","","",""
"305","","","","","","","",""
"306","","","","","","","",""
"307","","","","","","","",""
"308","","","","","","","",""
"309","","","","","","","",""
"310","0.0013472","7.26972e-05","0.000414338","0.000881272","0.00349218","0.726508","0.266379","0.000905283"
"311","","","","","","","",""
"312","","","","","","","",""
"313","","","","","","","",""
"314","","","","","","","",""
"315","0.000533202","2.50425e-05","3.0308e-05","0.000614673","3.11673e-05","0.000656753","0.990853","0.00725618"
"316","0.000294468","4.1988e-05","8.4865e-05","0.0016027","0.000145043","0.00486885","0.881458","0.111504"
"317","0.000374748","1.42352e-05","1.98602e-05","0.00112688","5.42732e-05","0.468405","0.529783","0.000221578"
"318","0.000594253","1.19925e-05","2.41934e-06","4.13055e-05","2.17521e-05","0.833733","0.165544","5.21481e-05"
"319","0.0113401","0.00245079","0.000482158","0.00382573","0.000484796","0.890529","0.0828043","0.00808316"
"320","0.000378683","7.0854e-05","0.00192779","0.00404344","0.00576666","0.88973","0.0908954","0.00718737"
"321","0.000381687","0.000154967","0.00144116","0.00341556","0.00379","0.852327","0.12412","0.0143696"
"322","0.00030566","0.000159455","0.00173826","0.00294472","0.00916531","0.816422","0.145026","0.0242392"
"323","0.00184819","0.00121113","0.00819387","0.0109729","0.0312997","0.766901","0.152904","0.0266692"
"324","0.000329175","3.69824e-05","0.00100164","0.00227967","0.000756539","0.953508","0.0384448","0.00364313"
"325","0.000131149","5.40574e-05","0.000861686","0.00141114","0.00524742","0.905559","0.0795763","0.00715949"
"326","0.000227166","3.59823e-05","0.000905147","0.00310955","0.00349169","0.88668","0.101734","0.00381648"
"327","0.000258702","3.03571e-05","0.000572023","0.00209632","0.00249115","0.842261","0.150183","0.00210686"
"328","0.000135944","1.00253e-05","0.000325139","0.00111979","0.00184297","0.847303","0.148675","0.000587922"
"329","0.000106112","6.16797e-06","0.000874011","0.0025918","0.00202538","0.847262","0.146648","0.000486551"
"330","0.000246534","1.17519e-05","0.000173026","0.000789962","0.000214734","0.970386","0.0278687","0.000308918"
"331","0.000244096","1.00316e-05","0.000126368","0.000792046","0.000186688","0.972471","0.0258097","0.000359885"
"332","0.000762063","4.80678e-05","0.000312328","0.00153521","0.000489851","0.947198","0.0484353","0.00121914"
"333","0.00263816","0.000142812","0.000549171","0.00333578","0.000444951","0.939236","0.05243","0.00122311"
"334","0.000789239","7.94002e-06","0.000850495","0.0017547","0.00312508","0.907239","0.0859286","0.000305248"
"335","0.00186711","2.69189e-05","0.000344484","0.00155323","0.000203637","0.966134","0.02957","0.000300649"
"336","0.000446111","9.69433e-06","9.18756e-05","0.00066933","0.00022028","0.949976","0.0484199","0.000166458"
"337","0.00965469","0.000487914","0.000972404","0.00700469","0.000658999","0.895397","0.0837543","0.00206989"
"338","0.000212153","7.24182e-06","3.58388e-05","0.000175501","5.73624e-05","0.985876","0.0134508","0.000184662"
"339","0.00556339","0.000143915","0.000744439","0.00686262","0.00125496","0.540822","0.443938","0.000670059"
"340","0.00560376","9.27482e-05","0.000504273","0.00327837","0.000228808","0.936457","0.0526209","0.00121433"
"341","0.00427929","6.90004e-05","0.00125228","0.00363045","0.000842606","0.870822","0.117286","0.00181834"
"342","0.00289186","4.02835e-05","0.000992263","0.00179634","0.00134551","0.775111","0.215526","0.00229692"
"343","0.000224897","4.15295e-06","0.000811834","0.00101829","0.00253303","0.893081","0.102076","0.000250758"
"344","9.68961e-05","8.95489e-06","0.000241511","0.000722047","0.00763067","0.61864","0.371332","0.00132781"
"345","0.000404495","9.25918e-06","0.000749217","0.000365432","0.00106116","0.950852","0.0462659","0.000292872"
"346","0.0012523","4.32068e-05","0.00152743","0.000706733","0.00192199","0.9129","0.0811351","0.000513506"
"347","0.00244799","0.000163685","0.00313997","0.00138855","0.00277331","0.894904","0.0937385","0.00144364"
"348","0.00300179","0.000175648","0.00277456","0.000800529","0.001999","0.929372","0.0607106","0.00116541"
"349","0.00034165","7.39691e-06","0.000220199","0.000137383","8.85797e-05","0.989567","0.00953932","9.86976e-05"
"350","0.000677843","1.68283e-05","0.000599889","0.00023303","0.000587992","0.971422","0.0262763","0.000185975"
"351","0.00269672","4.24161e-05","0.00238277","0.000883085","0.000486063","0.976314","0.016981","0.000214292"
"352","0.00163513","6.62798e-05","0.00166543","0.000664247","0.000548083","0.978123","0.0168926","0.000405242"
"353","0.00506904","0.000447144","0.00853461","0.00469581","0.000761629","0.946165","0.0322703","0.00205664"
"354","0.00104625","1.76854e-05","0.000660677","0.000184638","0.000512681","0.972158","0.0251831","0.000236979"
"355","0.000664374","2.7875e-05","0.000841091","0.000381672","0.000209875","0.98419","0.0134311","0.000253711"
"356","0.000712865","1.50449e-05","0.00074264","0.000342319","0.000376395","0.979994","0.0176727","0.000143903"
"357","0.000961331","4.00008e-05","0.00154085","0.000596638","0.000343976","0.973578","0.022406","0.000532705"
"358","0.00104909","1.47328e-05","0.00018072","9.08514e-05","2.91325e-05","0.996403","0.00220201","3.08139e-05"
"359","0.00920211","0.0014467","0.00559973","0.0016435","0.00105859","0.950778","0.0285912","0.00167985"
"360","0.0036958","2.14408e-05","0.000314074","0.000114411","7.75735e-05","0.99077","0.0049669","4.02514e-05"
"361","0.0025556","3.03719e-05","0.000742132","0.000368776","0.000585499","0.967904","0.0276784","0.000135047"
"362","0.0141298","0.000301011","0.00503739","0.00186477","0.00128903","0.939707","0.0372162","0.000454945"
"363","0.0182392","0.000944153","0.00826847","0.00362485","0.00461373","0.81731","0.144022","0.00297841"
"364","0.00891256","0.000421582","0.00153927","0.00112466","0.00287128","0.852088","0.131993","0.00104962"
"365","0.0047645","0.000176427","0.00073148","0.000381184","0.00106012","0.950063","0.042523","0.000300557"
"366","0.00211435","0.000113554","0.000633634","0.000429247","0.000917822","0.946059","0.0493227","0.000409827"
"367","0.0104262","0.000373885","0.00123321","0.00067083","0.00202986","0.912218","0.0722611","0.00078658"
"368","0.00233683","0.000103712","0.000236027","0.000117629","0.000586423","0.967717","0.0287269","0.000175628"
"369","0.00337916","0.000147003","0.000337177","0.000371154","0.000798777","0.954639","0.0400346","0.000293259"
"370","0.00569129","0.000416681","0.000993634","0.00106809","0.00336211","0.874156","0.113568","0.000743619"
"371","0.00362486","0.000163255","0.000673267","0.000540568","0.0029997","0.902351","0.0891357","0.000511821"
"372","0.00934699","0.0011483","0.00238171","0.00353874","0.00531569","0.839443","0.136172","0.00265337"
"373","0.0148885","0.00193377","0.00264871","0.00363064","0.000785963","0.943854","0.0300681","0.00219057"
"374","0.0314939","0.0217654","0.00148289","0.00451047","0.000796912","0.866976","0.0521086","0.0208658"
"375","0.0605632","0.00652713","0.00100429","0.0125504","0.00134229","0.0647314","0.807755","0.0455262"
"376","0.124374","0.00142865","0.000428793","0.0455578","5.75639e-05","0.215657","0.601964","0.0105329"
"377","0.00176934","3.64209e-05","0.000145607","0.00265812","0.000215087","0.323583","0.670526","0.00106692"
